id,label,age,region
p531,Person,71,south
p532,Person,65,south
p533,Person,65,south
p534,Person,55,south
p535,Person,69,south
p536,Person,59,west
p537,Person,37,central
p538,Person,38,west
p539,Person,67,south
p540,Person,48,west
p541,Person,51,west
p542,Person,46,north
p543,Person,34,south
p544,Person,39,west
p545,Person,51,north
p546,Person,21,central
p547,Person,59,south
p548,Person,30,north
p549,Person,26,west
p550,Person,50,south
p551,Person,26,south
p552,Person,20,south
p553,Person,70,east
p554,Person,52,east
p555,Person,51,west
p556,Person,60,west
p557,Person,55,west
p558,Person,59,west
p559,Person,61,south
p560,Person,33,south
p561,Person,71,west
p562,Person,45,east
p563,Person,49,north
p564,Person,40,central
p565,Person,54,west
p566,Person,72,central
p567,Person,35,central
p568,Person,35,east
p569,Person,35,north
p570,Person,18,west
p571,Person,34,south
p572,Person,20,south
p573,Person,30,east
p574,Person,41,south
p575,Person,19,north
p576,Person,24,north
p577,Person,74,west
p578,Person,66,east
p579,Person,50,central
p580,Person,65,south
p581,Person,74,central
p582,Person,23,central
p583,Person,34,central
p584,Person,48,north
p585,Person,26,west
p586,Person,34,central
p587,Person,40,west
p588,Person,64,north
p589,Person,72,south
p590,Person,47,east
p591,Person,75,central
p592,Person,29,north
p593,Person,60,east
p594,Person,23,west
p595,Person,59,west
p596,Person,62,central
p597,Person,37,south
p598,Person,33,south
p599,Person,29,west
p600,Person,71,central
p601,Person,45,south
p602,Person,30,east
p603,Person,30,central
p604,Person,47,north
p605,Person,77,central
p606,Person,69,east
p607,Person,24,south
p608,Person,36,central
p609,Person,43,west
p610,Person,46,east
p611,Person,59,central
p612,Person,41,north
p613,Person,55,south
p614,Person,25,central
p615,Person,27,north
p616,Person,48,east
p617,Person,36,south
p618,Person,51,south
p619,Person,64,west
p620,Person,67,north
p621,Person,43,north
p622,Person,36,west
p623,Person,46,east
p624,Person,40,south
p625,Person,76,east
p626,Person,20,south
p627,Person,42,south
p628,Person,35,west
p629,Person,76,north
p630,Person,32,north
p631,Person,44,south
p632,Person,57,east
p633,Person,67,central
p634,Person,58,south
p635,Person,19,west
p636,Person,23,north
p637,Person,59,south
p638,Person,49,west
p639,Person,55,west
p640,Person,32,west
p641,Person,72,east
p642,Person,77,central
p643,Person,50,north
p644,Person,33,north
p645,Person,33,central
p646,Person,35,south
p647,Person,48,east
p648,Person,36,central
p649,Person,28,east
p650,Person,43,east
p651,Person,62,west
p652,Person,29,central
p653,Person,19,central
p654,Person,76,north
p655,Person,73,west
p656,Person,46,east
p657,Person,30,west
p658,Person,60,south
p659,Person,50,west
p660,Person,62,north
p661,Person,50,south
p662,Person,47,west
p663,Person,22,east
p664,Person,76,east
p665,Person,18,east
p666,Person,49,central
p667,Person,44,west
p668,Person,48,east
p669,Person,71,north
p670,Person,74,north
p671,Person,20,west
p672,Person,55,north
p673,Person,75,north
p674,Person,41,east
p675,Person,69,central
p676,Person,76,central
p677,Person,24,central
p678,Person,32,south
p679,Person,69,west
p680,Person,71,west
p681,Person,28,west
p682,Person,69,west
p683,Person,59,central
p684,Person,38,east
p685,Person,65,east
p686,Person,65,south
p687,Person,55,south
p688,Person,76,south
p689,Person,48,south
p690,Person,57,east
p691,Person,60,central
p692,Person,68,west
p693,Person,48,south
p694,Person,68,central
p695,Person,26,south
p696,Person,20,central
p697,Person,66,west
p698,Person,44,south
p699,Person,75,south
p700,Person,76,east
p701,Person,74,west
p702,Person,45,north
p703,Person,75,central
p704,Person,37,south
p705,Person,25,east
p706,Person,51,east
p707,Person,39,central
p708,Person,69,east
p709,Person,37,west
p710,Person,44,west
p711,Person,24,east
p712,Person,65,east
p713,Person,47,south
p714,Person,39,north
p715,Person,19,central
p716,Person,44,west
p717,Person,23,east
p718,Person,18,west
p719,Person,39,central
p720,Person,71,south
p721,Person,63,west
p722,Person,63,north
p723,Person,68,south
p724,Person,70,central
p725,Person,33,west
p726,Person,22,north
p727,Person,57,north
p728,Person,46,north
p729,Person,64,west
p730,Person,51,central
p731,Person,21,central
p732,Person,27,east
p733,Person,74,central
p734,Person,32,north
p735,Person,46,west
p736,Person,30,south
p737,Person,72,south
p738,Person,30,west
p739,Person,38,south
p740,Person,49,east
p741,Person,26,north
p742,Person,49,central
p743,Person,46,south
p744,Person,45,north
p745,Person,46,west
p746,Person,52,north
p747,Person,20,east
p748,Person,49,east
p749,Person,49,north
p750,Person,66,west
p751,Person,18,west
p752,Person,76,west
p753,Person,74,west
p754,Person,42,north
p755,Person,21,north
p756,Person,59,south
p757,Person,24,south
p758,Person,68,north
p759,Person,37,south
p760,Person,52,south
p761,Person,58,south
p762,Person,20,north
p763,Person,23,central
p764,Person,25,central
p765,Person,71,south
p766,Person,40,west
p767,Person,66,south
p768,Person,22,north
p769,Person,33,north
p770,Person,59,north
p771,Person,49,north
p772,Person,73,east
p773,Person,33,central
p774,Person,39,north
p775,Person,58,north
p776,Person,40,north
p777,Person,59,north
p778,Person,40,south
p779,Person,55,east
p780,Person,20,east
p781,Person,52,south
p782,Person,44,west
p783,Person,39,east
p784,Person,19,central
p785,Person,34,west
p786,Person,51,central
p787,Person,62,east
p788,Person,50,south
p789,Person,67,east
p790,Person,77,north
p791,Person,20,east
p792,Person,63,north
p793,Person,71,west
p794,Person,51,west
p795,Person,75,south
p796,Person,70,south
p797,Person,57,east
p798,Person,39,central
p799,Person,70,east
p800,Person,59,south
p801,Person,54,south
p802,Person,77,east
p803,Person,31,north
p804,Person,59,west
p805,Person,32,east
p806,Person,68,west
p807,Person,58,east
p808,Person,69,central
p809,Person,24,east
p810,Person,45,central
p811,Person,34,east
p812,Person,32,north
p813,Person,48,west
p814,Person,76,north
p815,Person,22,north
p816,Person,69,north
p817,Person,35,central
p818,Person,40,south
p819,Person,35,central
p820,Person,74,west
p821,Person,18,west
p822,Person,65,south
p823,Person,37,west
p824,Person,50,south
p825,Person,47,north
p826,Person,72,west
p827,Person,30,north
p828,Person,35,east
p829,Person,51,east
p830,Person,76,south
p831,Person,56,central
p832,Person,26,central
p833,Person,28,east
p834,Person,47,south
p835,Person,62,central
p836,Person,56,north
p837,Person,74,south
p838,Person,71,east
p839,Person,35,west
p840,Person,37,central
p841,Person,20,west
p842,Person,65,west
p843,Person,57,west
p844,Person,22,south
p845,Person,52,south
p846,Person,24,west
p847,Person,18,central
p848,Person,38,central
p849,Person,35,west
p850,Person,57,east
p851,Person,44,west
p852,Person,53,north
p853,Person,47,east
p854,Person,46,central
p855,Person,64,west
p856,Person,27,north
p857,Person,68,west
p858,Person,18,west
p859,Person,21,west
p860,Person,26,west
p861,Person,27,central
p862,Person,51,east
p863,Person,72,north
p864,Person,38,central
p865,Person,68,north
p866,Person,67,west
p867,Person,49,west
p868,Person,32,central
p869,Person,18,east
p870,Person,54,east
p871,Person,55,central
p872,Person,66,south
p873,Person,73,west
p874,Person,36,south
p875,Person,38,east
p876,Person,32,south
p877,Person,49,east
p878,Person,21,south
p879,Person,31,east
p880,Person,20,south
p881,Person,22,north
p882,Person,38,central
p883,Person,50,central
p884,Person,55,north
p885,Person,43,south
p886,Person,63,north
p887,Person,66,central
p888,Person,74,east
p889,Person,23,south
p890,Person,74,east
p891,Person,67,west
p892,Person,76,east
p893,Person,23,north
p894,Person,68,south
p895,Person,56,north
p896,Person,66,west
p897,Person,32,east
p898,Person,73,east
p899,Person,26,central
p900,Person,32,south
p901,Person,59,west
p902,Person,75,west
p903,Person,34,west
p904,Person,76,south
p905,Person,56,north
p906,Person,65,west
p907,Person,67,south
p908,Person,39,north
p909,Person,70,north
p910,Person,19,south
p911,Person,53,north
p912,Person,35,north
p913,Person,59,central
p914,Person,64,west
p915,Person,27,south
p916,Person,73,east
p917,Person,58,south
p918,Person,22,north
p919,Person,62,north
p920,Person,33,south
p921,Person,70,north
p922,Person,22,south
p923,Person,26,north
p924,Person,42,south
p925,Person,40,west
p926,Person,22,north
p927,Person,28,south
p928,Person,20,west
p929,Person,27,east
p930,Person,49,east
p931,Person,77,north
p932,Person,41,east
p933,Person,74,north
p934,Person,67,south
p935,Person,18,central
p936,Person,75,south
p937,Person,18,north
p938,Person,72,west
p939,Person,36,central
p940,Person,49,east
p941,Person,58,west
p942,Person,33,north
p943,Person,66,south
p944,Person,65,south
p945,Person,26,west
p946,Person,77,west
p947,Person,37,south
p948,Person,39,central
p949,Person,28,south
p950,Person,63,north
p951,Person,33,south
p952,Person,57,north
p953,Person,56,central
p954,Person,65,east
p955,Person,18,west
p956,Person,74,east
p957,Person,39,west
p958,Person,58,east
p959,Person,27,north
p960,Person,32,south
p961,Person,32,north
p962,Person,25,central
p963,Person,27,north
p964,Person,54,east
p965,Person,30,east
p966,Person,70,east
p967,Person,45,south
p968,Person,43,west
p969,Person,24,central
p970,Person,53,east
p971,Person,73,central
p972,Person,61,east
p973,Person,54,east
p974,Person,34,west
p975,Person,18,south
p976,Person,60,north
p977,Person,49,central
p978,Person,69,central
p979,Person,70,south
p980,Person,19,central
p981,Person,67,north
p982,Person,43,east
p983,Person,41,north
p984,Person,47,central
p985,Person,61,south
p986,Person,47,east
p987,Person,21,east
p988,Person,66,south
p989,Person,67,south
p990,Person,24,west
p991,Person,74,north
p992,Person,63,west
p993,Person,42,east
p994,Person,55,north
p995,Person,20,east
p996,Person,28,west
p997,Person,35,north
p998,Person,58,east
p999,Person,32,south
p1000,Person,61,central
p1001,Person,73,central
p1002,Person,55,west
p1003,Person,76,west
p1004,Person,54,south
p1005,Person,62,east
p1006,Person,49,central
p1007,Person,76,east
p1008,Person,35,north
p1009,Person,30,west
p1010,Person,62,north
p1011,Person,61,central
p1012,Person,35,east
p1013,Person,57,south
p1014,Person,52,north
p1015,Person,35,east
p1016,Person,51,south
p1017,Person,36,south
p1018,Person,67,north
p1019,Person,45,west
p1020,Person,71,north
p1021,Person,54,central
p1022,Person,57,west
p1023,Person,36,central
p1024,Person,77,east
p1025,Person,57,east
p1026,Person,76,north
p1027,Person,43,east
p1028,Person,46,east
p1029,Person,38,north
p1030,Person,23,central
p1031,Person,56,east
p1032,Person,40,south
p1033,Person,54,north
p1034,Person,77,east
p1035,Person,39,north
p1036,Person,56,south
p1037,Person,68,south
p1038,Person,55,north
p1039,Person,50,central
p1040,Person,49,west
p1041,Person,74,south
p1042,Person,63,south
p1043,Person,63,east
p1044,Person,26,east
p1045,Person,62,north
p1046,Person,54,central
p1047,Person,63,east
p1048,Person,69,east
p1049,Person,60,west
p1050,Person,66,east
p1051,Person,40,west
p1052,Person,70,south
p1053,Person,59,north
p1054,Person,38,central
p1055,Person,49,east
p1056,Person,32,south
p1057,Person,62,central
p1058,Person,77,central
p1059,Person,54,west
p1060,Person,28,south
p1061,Person,38,central
p1062,Person,35,central
p1063,Person,47,central
p1064,Person,44,west
p1065,Person,19,central
p1066,Person,43,south
p1067,Person,41,west
p1068,Person,38,north
p1069,Person,53,east
p1070,Person,66,west
p1071,Person,75,west
p1072,Person,63,west
p1073,Person,38,north
p1074,Person,55,south
p1075,Person,34,central
p1076,Person,40,west
p1077,Person,53,east
p1078,Person,40,east
p1079,Person,48,west
p1080,Person,71,north
p1081,Person,35,north
p1082,Person,47,west
p1083,Person,76,east
p1084,Person,33,north
p1085,Person,28,north
p1086,Person,35,south
p1087,Person,21,west
p1088,Person,71,central
p1089,Person,47,central
p1090,Person,36,east
p1091,Person,26,west
p1092,Person,35,north
p1093,Person,25,central
p1094,Person,74,north
p1095,Person,23,central
p1096,Person,60,east
p1097,Person,21,north
p1098,Person,61,south
p1099,Person,69,north
p1100,Person,35,south
p1101,Person,33,west
p1102,Person,42,east
p1103,Person,37,west
p1104,Person,33,north
p1105,Person,75,south
p1106,Person,26,south
p1107,Person,25,north
p1108,Person,45,north
p1109,Person,42,north
p1110,Person,41,east
p1111,Person,23,south
p1112,Person,34,west
p1113,Person,36,north
p1114,Person,22,south
p1115,Person,41,east
p1116,Person,43,central
p1117,Person,50,central
p1118,Person,74,south
p1119,Person,47,south
p1120,Person,23,north
p1121,Person,40,central
p1122,Person,54,north
p1123,Person,34,west
p1124,Person,39,east
p1125,Person,23,south
p1126,Person,54,north
p1127,Person,56,central
p1128,Person,34,north
p1129,Person,61,west
p1130,Person,63,west
p1131,Person,49,west
p1132,Person,54,east
p1133,Person,23,west
p1134,Person,62,east
p1135,Person,25,west
p1136,Person,18,north
p1137,Person,69,east
p1138,Person,35,south
p1139,Person,36,central
p1140,Person,34,west
p1141,Person,61,south
p1142,Person,35,north
p1143,Person,46,east
p1144,Person,52,central
p1145,Person,49,west
p1146,Person,51,west
p1147,Person,34,central
p1148,Person,59,north
p1149,Person,31,east
p1150,Person,38,central
p1151,Person,40,south
p1152,Person,57,west
p1153,Person,23,north
p1154,Person,70,west
p1155,Person,49,central
p1156,Person,73,east
p1157,Person,18,north
p1158,Person,23,south
p1159,Person,44,central
p1160,Person,55,east
p1161,Person,41,south
p1162,Person,75,central
p1163,Person,66,west
p1164,Person,69,east
p1165,Person,30,north
p1166,Person,64,south
p1167,Person,28,south
p1168,Person,54,east
p1169,Person,30,north
p1170,Person,61,central
p1171,Person,32,west
p1172,Person,27,east
p1173,Person,26,north
p1174,Person,41,south
p1175,Person,42,central
p1176,Person,71,north
p1177,Person,24,north
p1178,Person,64,north
p1179,Person,28,south
p1180,Person,42,east
p1181,Person,51,central
p1182,Person,56,central
p1183,Person,73,north
p1184,Person,58,central
p1185,Person,44,west
p1186,Person,47,north
p1187,Person,19,east
p1188,Person,77,north
p1189,Person,23,north
p1190,Person,33,south
p1191,Person,57,central
p1192,Person,51,south
p1193,Person,74,west
p1194,Person,31,central
p1195,Person,23,central
p1196,Person,45,central
p1197,Person,49,central
p1198,Person,57,east
p1199,Person,77,central
p1200,Person,20,south
p1201,Person,40,south
p1202,Person,23,north
p1203,Person,30,central
p1204,Person,58,central
p1205,Person,43,west
p1206,Person,76,south
p1207,Person,49,west
p1208,Person,72,central
p1209,Person,71,west
p1210,Person,39,east
p1211,Person,40,north
p1212,Person,34,east
p1213,Person,55,north
p1214,Person,40,south
p1215,Person,65,east
p1216,Person,61,east
p1217,Person,59,north
p1218,Person,32,south
p1219,Person,67,central
p1220,Person,27,north
p1221,Person,65,west
p1222,Person,21,north
p1223,Person,20,east
p1224,Person,19,south
p1225,Person,36,central
p1226,Person,27,west
p1227,Person,29,east
p1228,Person,58,central
p1229,Person,60,north
p1230,Person,32,east
p1231,Person,51,north
p1232,Person,74,central
p1233,Person,41,central
p1234,Person,28,central
p1235,Person,48,north
p1236,Person,61,west
p1237,Person,39,west
p1238,Person,48,central
p1239,Person,55,west
p1240,Person,72,east
p1241,Person,27,west
p1242,Person,33,south
p1243,Person,38,central
p1244,Person,74,south
p1245,Person,66,west
p1246,Person,52,west
p1247,Person,51,west
p1248,Person,45,east
p1249,Person,62,south
p1250,Person,38,south
p1251,Person,29,west
p1252,Person,60,south
p1253,Person,21,north
p1254,Person,50,south
p1255,Person,24,south
p1256,Person,77,north
p1257,Person,46,north
p1258,Person,23,west
p1259,Person,65,north
p1260,Person,25,south
p1261,Person,59,east
p1262,Person,18,south
p1263,Person,76,central
p1264,Person,60,north
p1265,Person,68,east
p1266,Person,50,west
p1267,Person,74,west
p1268,Person,34,west
p1269,Person,51,east
p1270,Person,72,west
p1271,Person,44,south
p1272,Person,76,central
p1273,Person,24,central
p1274,Person,49,north
p1275,Person,50,west
p1276,Person,73,west
p1277,Person,69,south
p1278,Person,56,north
p1279,Person,62,north
p1280,Person,58,south
p1281,Person,50,west
p1282,Person,72,south
p1283,Person,65,north
p1284,Person,38,south
p1285,Person,44,north
p1286,Person,62,central
p1287,Person,73,east
p1288,Person,44,east
p1289,Person,52,north
p1290,Person,21,north
p1291,Person,54,east
p1292,Person,34,east
p1293,Person,59,south
p1294,Person,73,north
p1295,Person,24,east
p1296,Person,42,central
p1297,Person,77,north
p1298,Person,42,east
p1299,Person,26,east
p1300,Person,57,central
p1301,Person,65,north
p1302,Person,32,central
p1303,Person,38,west
p1304,Person,73,west
p1305,Person,31,west
p1306,Person,34,central
p1307,Person,31,south
p1308,Person,46,central
p1309,Person,62,east
p1310,Person,59,south
p1311,Person,74,south
p1312,Person,47,west
p1313,Person,31,north
p1314,Person,57,central
p1315,Person,57,west
p1316,Person,32,central
p1317,Person,52,south
p1318,Person,19,central
p1319,Person,77,central
p1320,Person,29,north
p1321,Person,18,east
p1322,Person,74,south
p1323,Person,69,east
p1324,Person,22,west
p1325,Person,26,north
p1326,Person,35,central
p1327,Person,70,west
p1328,Person,72,east
p1329,Person,64,central
p1330,Person,72,east
p1331,Person,76,central
p1332,Person,70,west
p1333,Person,71,central
p1334,Person,61,north
p1335,Person,32,west
p1336,Person,27,east
p1337,Person,48,central
p1338,Person,77,south
p1339,Person,26,central
p1340,Person,48,east
p1341,Person,41,west
p1342,Person,44,east
p1343,Person,23,south
p1344,Person,43,west
p1345,Person,76,north
p1346,Person,25,east
p1347,Person,48,north
p1348,Person,18,west
p1349,Person,61,north
p1350,Person,21,south
p1351,Person,27,east
p1352,Person,38,south
p1353,Person,26,west
p1354,Person,39,east
p1355,Person,45,west
p1356,Person,46,south
p1357,Person,71,south
p1358,Person,22,central
p1359,Person,33,west
p1360,Person,22,central
p1361,Person,59,central
